* x -> (y,z)
* Means that if you drop a marble into pipe x, it comes out pipe y,
* and you hear z plinks
0 -> (16,45)
1 -> (1,44)
2 -> (3,34)
3 -> (2,36)
4 -> (0,30)
5 -> (5,29)
6 -> (12,41)
7 -> (7,39)
8 -> (9,39)
9 -> (11,39)
10 -> (10,39)
11 -> (18,46)
12 -> (4,35)
13 -> (14,39)
14 -> (22,47)
15 -> (24,45)
16 -> (8,38)
17 -> (28,41)
18 -> (21,36)
19 -> (27,42)
20 -> (25,43)
21 -> (13,33)
22 -> (15,37)
23 -> (36,42)
24 -> (20,28)
25 -> (6,27)
26 -> (23,35)
27 -> (26,38)
28 -> (30,39)
29 -> (31,41)
30 -> (19,33)
31 -> (17,30)
32 -> (33,36)
33 -> (35,38)
34 -> (39,39)
35 -> (43,45)
36 -> (38,43)
37 -> (34,36)
38 -> (40,42)
39 -> (46,37)
40 -> (32,30)
41 -> (42,44)
42 -> (29,38)
43 -> (47,43)
44 -> (52,42)
45 -> (51,44)
46 -> (48,36)
47 -> (37,34)
48 -> (58,47)
49 -> (50,39)
50 -> (57,41)
51 -> (45,30)
52 -> (59,42)
53 -> (44,36)
54 -> (60,40)
55 -> (62,43)
56 -> (56,40)
57 -> (67,38)
58 -> (41,31)
59 -> (72,52)
60 -> (65,41)
61 -> (55,40)
62 -> (77,48)
63 -> (49,32)
64 -> (61,33)
65 -> (54,35)
66 -> (66,34)
67 -> (82,49)
68 -> (63,38)
69 -> (53,31)
70 -> (85,53)
71 -> (64,32)
72 -> (84,41)
73 -> (74,37)
74 -> (73,36)
75 -> (76,36)
76 -> (78,38)
77 -> (75,44)
78 -> (69,30)
79 -> (95,44)
80 -> (81,47)
81 -> (97,45)
82 -> (90,42)
83 -> (68,33)
84 -> (70,33)
85 -> (71,30)
86 -> (79,37)
87 -> (87,37)
88 -> (80,34)
89 -> (88,40)
90 -> (98,44)
91 -> (96,42)
92 -> (91,37)
93 -> (83,29)
94 -> (89,35)
95 -> (86,30)
96 -> (92,26)
97 -> (93,29)
98 -> (99,39)
99 -> (94,28)
